Anios,Total,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de M�xico,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,M�xico,Michoac�n de Ocampo,Morelos,Nayarit,Nuevo Le�n,Oaxaca,Puebla,Quer�taro,Quintana Roo,San Luis Potos�,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucat�n,Zacatecas
1980,5758330,55038,347138,42227,21766,149242,49073,55401,272399,1869808,75859,155239,59199,70592,347483,317938,131511,106712,34249,264368,68997,196445,42255,16640,80309,110677,176518,34762,245916,23218,227171,76404,33776
1981,6339836,56049,391422,44460,26299,171897,60262,60997,307456,1996743,85331,166660,67217,75007,386231,357998,156554,115884,35158,307312,81560,228030,46300,21714,89974,120393,182208,44755,266205,25982,248547,79229,36002
1982,6695164,59640,430583,53984,35866,202036,90599,64014,347613,1965771,94013,180181,75698,78771,404645,400980,167425,132284,40993,299466,85794,239249,49473,22362,96846,122477,190093,47689,288940,29911,271323,81378,45067
1983,6941252,59181,479624,56620,39342,225615,93368,73248,404470,1773140,108873,192857,81153,82316,438343,443777,190393,137356,42059,306338,93108,275423,52643,24662,101749,130907,198548,54886,307698,34032,304836,83293,51394
1984,7305066,60559,494007,57892,44359,237710,100961,71224,438638,1795279,110658,208212,85913,84555,487847,489786,200475,148388,53265,347032,80897,284043,54435,25345,106849,139617,202976,60957,327021,39272,322101,86616,58177
1985,7725623,63226,507540,58711,46907,248788,104826,81441,462776,1833239,113623,219866,89914,87726,508494,633362,211365,156316,54431,366631,75575,295252,57711,27281,112754,148198,221454,66436,342672,40920,336378,91475,60335
1986,7732012,70003,502496,60395,48001,255874,109314,89032,470753,1519411,115853,223064,93582,90252,530801,704819,218433,183976,55001,382050,78742,303042,59791,28516,115070,217768,228846,69275,357557,42307,345924,100529,61535
1987,7933729,74538,489187,61054,51866,262333,109982,92965,475220,1549203,117552,234142,96329,97770,555905,717189,225856,195386,58488,397753,84216,294383,61709,29738,117156,224120,238641,76888,367961,46273,354400,106076,69450
1988,8324887,76365,491855,61835,52951,271593,111635,98337,484304,1677570,119824,246007,101954,101330,586990,753486,236294,192981,60695,414999,91502,306984,64648,32800,120782,230556,250631,85928,380996,47655,370631,118454,82315
1989,9009048,80180,531869,65701,61715,335354,111577,116786,502170,1711583,124553,264577,109918,131431,627739,858069,253460,200503,63145,443406,100119,332950,80064,40501,134228,240998,271892,96322,409005,62741,397158,127849,121485
1990,9862108,105893,542800,72495,66288,352475,108115,135163,555273,1977554,131748,288265,119520,140774,674854,928820,278640,209458,64476,473704,111583,355022,91631,50418,147543,251592,299392,101991,440954,64688,431008,147301,142670
1991,10602143,116322,596778,79691,72562,387261,118448,148510,641354,1919557,144762,316707,131306,154692,741520,1011089,306031,229970,70749,520493,122476,389966,100688,55254,161879,276295,328918,111996,484507,71020,473503,161057,156782
1992,11260184,111982,591819,80894,82783,401326,120209,154635,647251,2257243,147546,338905,135615,142323,789194,1056885,319329,237107,72859,552130,127152,409070,105262,63102,169758,283907,344101,116589,498786,86682,490273,167627,157840
1993,11593078,114731,582442,81598,108889,459630,57474,114131,518956,2566043,156115,423438,140642,186886,1006337,896531,362169,193689,80017,631201,132918,331840,128910,72701,174776,314690,350114,167419,376319,57497,471160,144928,188887
1994,11161089,142582,585813,83246,113092,327554,68529,123121,608862,2016038,162611,439632,144189,207730,1067022,455334,423614,213972,77107,665361,134356,532952,157330,58582,206145,323727,354960,160815,423538,44434,493121,165462,180258
