mes,2012,2013,2014,2015,2016,2017
enero,61,51,43,56,33,48
febrero,50,67,42,40,42,43
marzo,65,76,47,58,51,49
abril,55,56,50,47,38,57
mayo,83,71,44,46,51,44
junio,56,57,42,34,50,36
julio,74,42,45,44,53,31
agosto,52,61,49,34,39,32
septiembre,49,49,49,46,36,47
octubre,68,51,47,45,49,52
noviembre,68,48,57,33,35,57
diciembre,35,55,62,50,60,50
