years,months,celphone_exposure,smartphone_proportion,smartphone_exposure,delta
0.0,0.0,76.32,69.8,53.271359999999994,47.54250467423999
0.08333333333333333,1.0,76.83374617247753,71.10153177705332,54.629970450324606,48.75500879812625
0.16666666666666666,2.0,77.33634643576015,72.34697133666693,55.95050438870483,49.93353119623912
0.25,3.0,77.82804260438283,73.53873608955084,57.23375885450027,51.07878319352846
0.3333333333333333,4.0,78.30907124662662,74.67913926307547,58.48054037188928,52.19148457975594
0.41666666666666663,5.0,78.77966379833812,75.77039439126915,59.69166196011668,53.27236094126378
0.5,6.0,79.24004667427943,76.81461961130996,60.86794043267221,54.32214125060221
0.5833333333333333,6.999999999999999,79.6904413770624,77.81384177485131,62.01019396282798,55.34155569387149
0.6666666666666666,8.0,80.1310646037196,78.77000038216138,63.11923989457991,56.331333717076895
0.75,9.0,80.56212834996293,79.68495134671261,64.19589277954412,57.29220227413917
0.8333333333333333,10.0,80.98384001218066,80.56047059752842,65.24096262176226,58.224884260455326
0.9166666666666666,11.0,81.39640248722131,81.3982575262794,66.25525331367528,59.130097117069326
1.0,12.0,81.80001427001281,82.19993828581946,67.23956124774205,60.00855159159862
1.0833333333333333,13.0,82.19486954906375,82.96706894656502,68.19467408931091,60.86095064307232
1.1666666666666665,13.999999999999998,82.58115829989279,83.7011385168433,69.1213696974069,61.68798847877807
1.25,15.0,82.95906637643088,84.4035718330724,70.02041518107706,62.49034971208885
1.3333333333333333,16.0,83.32877560044068,85.07573232538319,70.89256607985013,63.26870863105697
1.4166666666666665,17.0,83.6904638489959,85.71892466405085,71.73856565771551,64.02372856831913
1.5,18.0,84.04430514006272,86.33439729187305,72.55914430081583,64.7560613635618
1.5833333333333333,19.0,84.39046971622454,86.92334484740991,73.35501900978288,65.46634691045182
1.6666666666666665,20.0,84.72912412659034,87.48691048378952,74.12689297832898,66.1552127805465
1.75,21.0,85.06043130692578,88.0261880875796,74.87545525034093,66.82327391726402
1.8333333333333333,22.0,85.38455065804622,88.5422244020324,75.60138044831432,67.47113239352214
1.9166666666666665,23.0,85.70163812250854,89.03602105882382,76.3053285665137,68.09937722714224
2.0,24.0,86.01184625963946,89.50853652223059,76.9879448227542,68.70858424857039
2.083333333333333,24.999999999999996,86.3153243189358,89.96068794951904,77.64985956317315,69.29931601588994
2.1666666666666665,26.0,86.61221831187258,90.39335297115663,78.29168821479975,69.87212177249197
2.25,27.0,86.90267108215299,90.80737139430148,78.9140312811389,70.42753744313394
2.333333333333333,27.999999999999996,87.18682237443437,91.20354683287653,79.51747437636412,70.96608566445555
2.4166666666666665,29.0,87.46480890156313,91.58264826739217,80.10258829406528,71.48827584633321
2.5,30.0,87.73676441035099,91.94541153754528,80.66992910682379,71.99460426074685
2.583333333333333,30.999999999999996,88.00281974592414,92.29254077049137,81.22003829318908,72.48555415510123
2.6666666666666665,32.0,88.26310291467644,92.6247097475625,81.75344288891144,72.96159588719502
2.75,33.0,88.51773914585667,92.94256321208367,82.27065565954516,73.42318707926201
2.833333333333333,34.0,88.76685095181969,93.24671812082599,82.77217529177706,73.87077278872407
2.9166666666666665,35.0,89.01055818697054,93.5377648415261,83.25848660105827,74.30478569349386
3.0,36.0,89.24897810542952,93.8162682987958,83.73006075332329,74.72564628985015
3.083333333333333,37.0,89.48222541744632,94.08276907064644,84.1873554987713,75.13376310107793
3.1666666666666665,38.0,89.71041234459025,94.33778443775626,84.63081541586183,75.52953289522463
3.25,39.0,89.93364867374306,94.58180938751738,85.0608721638392,75.91334091046778
3.333333333333333,40.0,90.15204180992038,94.81531757481136,85.47794474225272,76.28556108672612
3.4166666666666665,41.0,90.36569682794706,95.03876224137801,85.88243975607708,76.64655630226879
3.5,42.0,90.57471652301169,95.25257709556223,86.27475168516865,76.99667861419393
3.583333333333333,43.0,90.77920146012396,95.45717715414622,86.65526315690983,77.33626950175258
3.6666666666666665,44.0,90.97925002249927,95.65295954790128,87.02434522100519,77.66566011159307
3.75,45.0,91.1749584588936,95.84030429242256,87.38235762549348,77.98517150409029
3.833333333333333,46.0,91.36642092991129,96.01957502574322,87.72964909313252,78.29511490000796
3.9166666666666665,47.0,91.55372955330824,96.19111971415951,88.06655759740057,78.59579192681852
4.0,48.0,91.73697444831238,96.35527132763677,88.3934106374362,78.88749486407568
4.083333333333333,49.0,91.91624377898229,96.51234848610757,88.71052551131156,79.17050688729961
4.166666666666666,49.99999999999999,92.09162379662543,96.66265607791615,89.01820958710043,79.44510230989407
4.25,51.0,92.26319888129586,96.80648585160979,89.31676057126428,79.71154682266994
4.333333333333333,52.0,92.4310515823919,96.94411698222567,89.60646677393535,79.97009773059958
4.416666666666666,52.99999999999999,92.59526265837272,97.07581661317238,89.88760737072718,80.22100418647182
4.5,54.0,92.75591111561354,97.20184037475806,90.16045266075115,80.46450742116131
4.583333333333333,55.0,92.91307424641761,97.32243288037131,90.42526432055935,80.70084097026208
4.666666666666666,55.99999999999999,93.06682766620374,97.43782820127825,90.68229565377528,80.93023089687264
4.75,57.0,93.2172453498868,97.54825032095727,90.93179183620846,81.15289601035077
4.833333333333333,58.0,93.36439966746914,97.6539135698531,91.17399015628254,81.36904808088576
4.916666666666666,58.99999999999999,93.50836141885969,97.7550230413945,91.40912025063673,81.57889204976301
5.0,60.0,93.64919986793774,97.85177499008249,91.63740433478706,81.78262623521972
5.083333333333333,61.0,93.78698277587765,97.9443572124225,91.85905742875877,81.98044253381262
5.166666666666666,61.99999999999999,93.92177643375052,98.03294941143915,92.07428757762362,82.1725266172384
