years,months,celphone_exposure,smartphone_proportion,smartphone_exposure,delta
5.25,63.0,94.05364569441873,98.11772354548164,92.28329606689657,82.35905812456645
5.333333333333333,64.0,94.18265400373832,98.1988441619967,92.48627763276355,82.54021084985852
5.416666666666666,65.0,94.30886343108448,98.27646871691678,92.6834206671295,82.71615292516573
5.5,66.0,94.43233469921485,98.35074788028362,92.87490741749038,82.88704699890604
5.583333333333333,67.0,94.55312721348487,98.42182582870028,93.06091418164547,83.05305040963714
5.666666666666666,68.0,94.6712990904293,98.48984052517947,93.24161149727951,83.21431535525058
5.75,69.0,94.78690718572362,98.55492398693103,93.41716432645279,83.37098905762173
5.833333333333333,70.0,94.90000712153885,98.61720254160873,93.58773223504907,83.52321392275967
5.916666666666666,71.0,95.01065331330287,98.67679707251354,93.75346956723723,83.67112769650697
6.0,72.0,95.11889899588117,98.73382325322922,93.91452561501093,83.81486361584705
