0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,average,accidentes,muertes
3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,3429847.0,24008.929,542.6017954
3564275.2260759906,3500317.5966012017,4188396.8484880184,3700603.375577772,3733168.0666143447,3551492.0868954984,3623376.3135232744,3701321.943620115,3500317.5966012017,3623376.3135232744,3500317.5966012017,3519409.799382491,3700603.375577772,3700603.375577772,4010570.9550726344,3614354.6673499793,3490486.6976070413,3478320.524469739,3701321.943620115,3653026.8012750694,3519409.799382491,4010570.9550726344,3623376.3135232744,4188396.8484880184,3500317.5966012017,4010570.9550726344,3599355.8905043295,3623376.3135232744,3668011.8083907887,3551492.0868954984,4188396.8484880184,3490486.6976070413,3663573.9435919845,3663573.9435919845,3668011.8083907887,3636130.9308801643,3614354.6673499793,3551492.0868954984,4010570.9550726344,3636130.9308801643,3700603.375577772,3700603.375577772,4010570.9550726344,3519409.799382491,4010570.9550726344,3614354.6673499793,3601389.8724932475,3700603.375577772,3564275.2260759906,3500317.5966012017,4010570.9550726344,3500317.5966012017,3668011.8083907887,3663573.9435919845,3475580.0814061654,3478320.524469739,3614354.6673499793,3614354.6673499793,3700603.375577772,3551492.0868954984,4010570.9550726344,3733168.0666143447,3614354.6673499793,3551492.0868954984,3701321.943620115,3564275.2260759906,3551492.0868954984,3478320.524469739,3733168.0666143447,3601389.8724932475,3478320.524469739,3700603.375577772,3599355.8905043295,3490486.6976070413,3551492.0868954984,3636130.9308801643,3663573.9435919845,3653026.8012750694,3478320.524469739,4188396.8484880184,3700603.375577772,3519409.799382491,3636130.9308801643,4010570.9550726344,3733168.0666143447,3733168.0666143447,3623376.3135232744,3701321.943620115,3653026.8012750694,4188396.8484880184,3623376.3135232744,3636130.9308801643,3490486.6976070413,4188396.8484880184,3701321.943620115,4010570.9550726344,3475580.0814061654,3601389.8724932475,3663573.9435919845,4010570.9550726344,3701321.943620115,3519409.799382491,3653026.8012750694,3636130.9308801643,3700603.375577772,3551492.0868954984,3564275.2260759906,4010570.9550726344,4188396.8484880184,3733168.0666143447,3490486.6976070413,3599355.8905043295,3564275.2260759906,3490486.6976070413,3564275.2260759906,3636130.9308801643,3663573.9435919845,3478320.524469739,3668011.8083907887,3601389.8724932475,3636130.9308801643,3663573.9435919845,3700603.375577772,3551492.0868954984,3601389.8724932475,3663573.9435919845,3519409.799382491,3519409.799382491,3614354.6673499793,3733168.0666143447,3478320.524469739,3733168.0666143447,3733168.0666143447,3490486.6976070413,3564275.2260759906,3500317.5966012017,3614354.6673499793,3475580.0814061654,3490486.6976070413,4188396.8484880184,3475580.0814061654,3614354.6673499793,3564275.2260759906,3668011.8083907887,3601389.8724932475,3475580.0814061654,3564275.2260759906,3490486.6976070413,3700603.375577772,3475580.0814061654,3500317.5966012017,4010570.9550726344,3475580.0814061654,4010570.9550726344,3475580.0814061654,3701321.943620115,3700603.375577772,3614354.6673499793,3663573.9435919845,3733168.0666143447,3599355.8905043295,3663573.9435919845,3700603.375577772,3519409.799382491,4010570.9550726344,3614354.6673499793,3668011.8083907887,3614354.6673499793,3500317.5966012017,3551492.0868954984,3663573.9435919845,3500317.5966012017,3700603.375577772,3623376.3135232744,3601389.8724932475,3500317.5966012017,3551492.0868954984,3653026.8012750694,3614354.6673499793,3475580.0814061654,3733168.0666143447,3478320.524469739,3475580.0814061654,3490486.6976070413,3478320.524469739,3490486.6976070413,3623376.3135232744,3653026.8012750694,3700603.375577772,3623376.3135232744,3475580.0814061654,3475580.0814061654,3475580.0814061654,4188396.8484880184,3500317.5966012017,3733168.0666143447,3700603.375577772,3653026.8012750694,3601389.8724932475,3599355.8905043295,3655154.689822805,25586.082828759638,578.2454719299677
3845643.532526389,3624462.037504949,4297767.484168091,3941401.2671336634,3933992.806550687,3865570.927108939,3751885.2314177547,3923933.4012107793,3637507.8226415105,3671689.886668529,3591720.5783316977,3581632.9673517365,3752903.460181799,4027868.983343044,4689620.086747957,3665435.811613879,3799170.480913221,3539817.2340268153,3900433.5302094407,3941401.2671336634,3759240.000454827,4365248.775927368,3827825.529652347,4473815.175879125,3776637.008466174,4167759.873132917,3693345.0362380682,3674584.9593890063,3906688.9699292667,3598847.166210507,4247590.846682154,3581632.9673517365,3952781.0139447236,3846806.606120425,3906688.9699292667,3854821.555160755,3742543.617930264,3793508.5356353996,4115298.0644330275,3888619.8688522936,3766030.046113989,3776637.008466174,4689620.086747957,3731080.3747156737,4064047.325293679,3808787.873451667,3804598.5024272623,3885688.055158179,3765389.659959047,3624462.037504949,4211158.579526771,3728082.9125494305,3874979.5848756097,3844634.0184171437,3671689.8866685284,3527479.118149421,3678256.460658165,3933992.806550687,3776637.008466174,3729119.0055956887,4365248.775927368,3987564.826039756,3678256.460658165,3727012.8851365168,3958337.6739121387,4167759.8731329166,3614282.469732734,3614648.604943351,3976084.9393592295,3886442.5621873233,3539817.2340268153,3923171.615776996,3802449.7528880616,3581632.9673517365,3601684.8035321916,3815834.7251957627,3846806.606120425,3833565.6183321327,3527479.118149421,4336945.136090105,3776637.008466174,3644231.376224476,4251781.814241045,4081477.852653543,4558800.834289002,3957694.8701182646,3818294.836576736,3910169.2463940964,3728082.91254943,4473815.175879125,3874979.5848756097,3888619.8688522936,3581632.9673517365,4519911.577367164,3884247.5890096542,4064047.325293679,3684614.572239507,3817991.03853066,3953548.548810455,4226318.506395486,3910169.2463940964,3731080.3747156737,3704654.493134274,3765092.211966559,3899676.306998711,3624462.037504949,3765389.659959047,4067251.766003366,4262447.708001751,3992395.1567078144,3581632.9673517365,3673309.2642215504,3637507.82264151,3766030.0461139893,3756014.4225347834,3700417.72854437,3870291.3133012196,3650225.0592554896,3888619.8688522936,3795125.6410542266,3883915.09413144,3883915.09413144,3909410.133108787,4152812.358940029,3817991.03853066,4473815.175879125,3763793.7501880503,3748417.44305631,3860654.8869974255,3785928.383219335,3527479.118149421,3830651.4186738688,3987564.826039756,3799170.480913221,3627291.6148238024,3710839.8948716214,3831735.585034069,3566337.098138621,3537028.3399277627,4244244.323326759,3566337.098138621,3865331.485501273,3845643.532526389,3851466.429530014,3817991.03853066,4244244.323326759,3796202.2585778176,3766030.0461139893,3941401.2671336634,3546990.3227002947,4092973.2686205623,4251781.814241045,3598847.166210507,4328010.632094033,3750674.832468511,4028651.098483855,3776637.008466174,4226318.506395486,3883915.09413144,4558800.834289002,4208780.214227125,3846806.606120425,3909410.133108787,3695432.131127014,4236867.65103942,3849540.3640871192,3719851.28115716,3860654.8869974255,3743375.805816199,3798103.7965072882,3759240.000454827,4274452.822622009,3749946.6831443277,3874979.5848756097,3781512.415480029,3743375.805816199,3832595.3297098977,3901962.33371183,4226318.506395486,3716920.5447373115,3809870.782760828,3652287.787213458,3566337.098138621,3552198.505114575,3549787.071674202,3562203.214410539,3943812.288703226,3748417.4430563096,3957569.209294199,3687437.6095427666,3684614.572239507,3662547.947176359,3684614.572239507,4519034.089792945,3624462.037504949,3917667.6017358797,3766030.046113989,3717612.3179408964,4211158.579526771,3650225.0592554896,3867267.448927006,27070.872142489043,611.8017104202523
3946063.9303459525,3698931.2491465705,4528964.69305713,4011085.244578428,4202074.769037045,4058906.4142786735,3977537.7557863602,4026398.1642170874,3924657.2010814846,3747129.4549198616,3732493.220932304,3783726.812780967,4049162.3133528307,4084794.264769586,4772532.573500954,3915216.95613173,4099081.710077124,3739551.6243069256,4110256.2693323777,4253366.111856871,3945028.0550288633,4710761.466532126,3963585.57060326,4533468.377212775,3843407.953690538,4402925.962809005,3945028.055028863,3818605.359615658,4141651.9748222516,3792446.1505927793,5186994.0892145,3644956.2409786996,4175816.9091716986,3901172.959532729,4102080.964918942,3934023.7979381587,3889227.566097744,3928051.468733052,4347503.993546886,3990162.497776787,3899598.410012027,4416077.654194732,4772532.573500954,4556251.425476012,4385719.696831996,3999283.3715101364,4033421.401670722,4543592.660107015,3815596.8184255445,4426053.224925249,4285611.866462835,3860305.4198072464,4127124.1189313536,4034642.39105216,3869207.424979048,3806681.71660957,3899480.673134677,4207164.946002647,3910581.5654879953,3913418.4292134577,4611558.188260785,4184637.0830459986,3917600.240695126,3873088.1271841247,4156312.8648991208,4373737.676802651,3678182.986586991,3865645.833798272,4252179.910280087,4151284.212997358,3852863.5999565064,4117061.450468875,3880575.949955194,3760767.3740573507,3920202.473916923,4031143.418232335,3898099.3663139497,4083015.349726654,3665733.9033841346,4638097.842708874,4074769.4173710556,3739392.3451108932,4588313.510350556,4153638.3842384056,4786808.028265453,4155637.9114468945,4066750.8997296463,4145341.5682361214,3780771.361418047,4784471.987724975,4531071.087019781,4547020.873332649,3865121.8832945633,4877665.943854548,4743293.319076688,4962857.821169926,4010466.198307505,4120187.871779261,4266474.859922206,4560834.762731224,4218842.8557560695,3973861.4015574995,3997104.513012404,3863409.1918309494,4052518.858931904,3842450.8505401807,4402925.962809005,4270674.265926381,4539804.754079086,4074424.02521447,3722010.2396488334,3963284.852857685,3874200.09287795,3992533.292971706,3941643.063544756,3752715.189426109,4021982.1600487274,4457514.033266698,4158641.3613473875,3845729.2947708378,4191329.8654622445,4148584.5106162326,4163795.059494705,5071254.2561072,3953402.283302889,4537042.94942152,3990162.497776787,3933670.628379023,3928911.2683790643,3839434.3536386164,3577332.4630216877,4677843.743359336,4058064.9752416085,3948073.842581958,3806558.555058874,3963715.1009048773,4037862.737264633,3848615.334645237,3629389.940786091,4355073.29116713,3798398.2964493576,3944749.6682495656,4150029.0812624292,4041812.4715792085,3871950.1457536523,4394773.332205817,3983817.051010703,3899598.4100120272,4178452.000463865,3826994.1374429828,4371888.955611375,4308474.455000805,3662474.786886579,5285199.628929595,3816986.7664011996,4133850.3304366395,3875255.454924499,4286048.44581747,4148584.5106162326,4784104.549425724,4268262.287538877,4108947.264475734,4218023.817126631,3903947.1008935547,4293361.428514664,3917600.240695126,4014280.279543197,4011968.0470161284,3796280.3869017866,4098726.5397434034,4020277.4969971837,4612778.945923762,3799947.92720245,4026854.1821026895,4044096.4840580705,3928379.824824818,4171533.7439624174,3970949.0307832593,4437696.686430471,4010338.8619402754,3863715.1276003206,3832790.080934743,3613890.1186759807,3599563.003707446,3750084.01061489,3809558.6929520415,4292586.257319383,3801393.27686137,4155505.965730611,3869677.067453726,3736688.689431617,3912132.2981554633,3975482.6159104384,4579290.233552634,3675686.027748431,4184637.0830459986,4011085.244578428,3903547.6951853805,4498128.005210761,3714761.0411202484,4095590.686656475,28669.134806595324,647.9224466290543
4158341.3441787045,3921398.921357439,5295785.571346003,4153344.8885572976,4913548.336046336,4261911.5236863615,4133431.9821645743,4305986.8302088315,4118620.455933713,3948705.243864868,3809182.07151049,3861468.323079426,4368808.207787632,4142524.0628472134,5103931.993331241,4054076.4757672627,4244462.291430776,3792402.1587962755,4182925.6033463324,4328565.627997107,4157249.744236458,4994084.423140702,4840177.801699982,4760208.575182066,3979720.650583879,4461633.937678573,4084944.8736388953,3872573.14894842,4507922.043005612,3843014.076373013,5597548.533167066,3933457.241174183,4384669.265444497,4209136.390853453,4386924.961462643,4003577.3417218532,4108677.454388006,4238136.722902438,4630395.643618264,4343035.48155426,3951595.088445914,4765613.488357179,4856910.953083731,4636805.954194791,5355671.712634108,4315829.627888796,4232759.968881919,4945408.651294017,3965143.9882328683,4817474.528871514,4624821.236392658,4123365.95489908,4182154.592099526,4262297.319173509,4077350.364438477,3873983.852297097,3954591.461408459,4417585.165881316,4572701.010858102,4052214.161174713,4676732.663589359,4469799.20119938,4189634.098379408,4179645.9360202174,4229796.479558241,4671786.05600796,3859965.065241888,4129070.291432318,4363216.09826243,4236577.660533377,4084589.344149798,4481156.837368938,4145017.8204408423,3827257.744133119,4000748.0513535934,4084894.0986871617,4168779.1047006524,4287226.261037313,3730544.081625057,4802595.505463552,4276151.4740632465,3792240.628530733,4994084.423140701,4520968.479440168,5074704.711831608,4390120.018740197,4285520.63558158,4433189.53355741,4079230.1412720145,5842612.628221168,4755004.350735908,4725235.222232938,4206936.807469126,5118728.516731279,4840750.351431143,5261342.803080285,4288948.566085905,4227777.382267145,4643783.732648859,4654542.950510204,4384194.709991158,4172613.0075950916,4274659.060040174,3931714.2693241704,4106554.556406326,4092478.743105878,4517898.547505355,4327618.815891095,5543834.440642911,4180818.5149889365,3975646.6488913423,4033355.73211494,3953800.4925160506,4192218.7686215793,4253627.0466339225,4582671.026627553,4340325.0424397895,4680455.395212444,4267234.998891595,4496868.289075253,4443412.247056228,4476078.916597764,4272523.27436357,5251114.513621114,4006116.374763415,4809917.819402252,4305150.873603579,4201730.636032015,4125414.705631173,4029185.7499689744,3625032.0941563384,5091532.328795069,4276367.45419664,4260566.826619727,4107850.498729036,4202107.872332794,4394954.127145706,3985112.719750248,3677783.698763251,5318247.504235247,3897584.990374681,4256153.098996439,4384194.709991157,4200225.858732107,4177606.691915066,4642748.669319159,4223418.829512751,4153344.888557298,4234166.87214443,4016130.7170643285,4717927.221381831,4384648.286690355,3882749.8299973807,5359894.5799114825,4661156.997124145,4356229.661538815,4093916.9660411356,4665088.323149056,4382668.629363468,5594124.388626566,4481738.274473285,4167018.413354804,4510918.757977854,4175032.8995464067,4405472.979933308,4226860.461962494,4275489.095869663,4068668.6028423347,4043303.972015987,4378034.283428056,4077095.4890609207,4674285.06997028,4135999.1441686926,4225868.186118305,4202599.389998795,4239314.012694631,4500839.790883939,4167200.1068392214,4659646.889119993,4251535.762152595,4000748.051353594,3983011.1174712735,3742062.593284067,3727227.343945309,4081725.475086369,3860354.7948849676,4534795.682876402,4005888.1730458313,5074543.584812748,3921274.7790546906,3961427.23646634,4777345.050220179,4116479.5549179125,4940785.08342652,3883086.82250028,4391448.987224349,4365808.547007542,3958715.962085146,4751935.135671173,3924366.6457408057,4343872.079087373,30407.10455361161,687.2005629116223
4266927.147444155,3976819.4770178013,5434073.191959736,4358610.279095469,5106128.234378053,4557853.978675537,4295436.272434126,4521349.599968567,4173537.542495392,4217789.785476834,4109883.628051645,4167106.4157695216,4631564.806074365,4347254.669717059,5507912.01055373,4159939.6347012967,5183173.618226963,4006388.667930947,4552845.7355200015,4417501.549113241,4524899.212741617,5189820.824757609,5176274.431875971,4844369.066465055,4135700.4325788133,5217054.7206974635,4407415.487757096,4528257.205807345,4906583.476678536,3921973.7193859,5676657.865388889,4003000.7682338534,4731719.102253367,4581374.493485706,4691548.212258237,4201440.964572536,4166744.790080689,4532428.281839039,4695836.345939826,4400944.885451222,4146889.659651226,5187064.05637383,5241339.071059934,5662288.564358684,5623534.188632625,4404503.871581434,4444460.316925559,5224453.617841211,4120552.45761183,4902647.482259928,5033820.737047729,4327149.735387909,4256095.088515493,4475474.969824192,4221960.208371897,4179800.941775076,4057856.7912315787,4590726.456845326,4890224.346470269,4135472.0876926654,4759417.300690965,4586518.031262948,4899001.275375367,4464467.932430747,4564588.020059211,5705004.915319549,3996864.9869512054,4335584.628228924,4708567.900916651,4311480.356841256,4368218.741759807,4786525.295890431,4414733.715478612,4018677.0077914167,4157551.9739543507,4244996.01209461,4227695.848199894,4625665.218728518,3914913.9349315623,5227316.60562763,4567549.840920183,4039001.34697174,5388323.640732327,4829049.902540163,5325505.276795488,4480320.653599856,4624722.784519229,4590419.79077699,4981398.490358619,6156914.352835304,4852702.001225177,5047236.403698378,4499061.878547527,5571407.0745223975,5223899.345754744,5521367.340942493,4568030.020348456,5162798.6507843165,4709413.646868569,4750176.492947628,4603469.02576139,4879098.261531533,4426266.776887957,4012496.371331849,4469720.758327043,4376655.971913807,4772821.231947696,4541497.121252052,5740455.520902836,4289991.259403646,4172129.8892489523,4090358.556956933,4057045.1679518963,4477897.540782225,4466371.055942371,4987942.942179274,4683865.00098293,4746603.584659189,4508013.978239064,4719111.192162547,4559442.040704983,4592961.727413361,4529488.933710097,5615746.13770658,4204105.480958932,5099204.41294326,4685880.088322811,4257755.901655942,4490248.8188550435,4303754.636133467,3911956.08329702,5346183.944763286,4614845.122012997,4981943.96630143,4339636.198521263,4428159.098955179,5366948.442710851,4659851.394689283,4300487.013356426,5526689.0404983545,4117506.446808694,4466499.446698669,4539687.286325804,4426175.84295523,4233310.292374297,4921981.079859865,4596920.010214664,4238680.67531023,4443426.623004276,4232177.354240313,5091354.673518454,5354363.347899272,4101834.211656972,5708662.3841896225,4941496.553907976,4701028.48252486,4296245.327256806,4898411.457209467,4629960.9579252675,5693028.512134842,4705891.205308415,4456371.594991634,4909845.208364854,4284054.5655266605,4561720.224623744,4501901.849499092,4443061.123066504,4140602.6668806495,4243130.952714595,4613549.422503808,4398946.463026413,4938031.872904475,4194452.613294773,4336217.302148893,4534357.797543339,4448828.144022157,4742961.218146428,4456565.90507204,4842275.46276917,4541256.691179442,4071481.279989169,4064847.1788808405,4038249.633561588,4021459.2926593474,4312037.068922457,4123418.6946417573,4761602.265680415,4088194.272843355,5325336.186604453,4231646.5972619895,4042819.8294146643,5155475.46774678,4319922.9977705795,5277474.911425889,4190436.035514818,4481676.927442511,5105004.670481309,4308807.948125019,4989601.889632683,4196870.355159349,4613648.901328861,32295.542309302025,729.8792561902258
